"ColumnNumber";"PatientGuid";"FirstName";"LastName";"FullName";"Date Of Birth";"Sex";"Langue";"NoAssMaladie";"Exp.year";"Exp.Month";"FileNumber";"Civil State";"Note";"MotherFirstName";"MotherLastname";"FatherFirstName";"FatherLastname";"Email";"Phone1";"PhoneNote1";"Phone2";"PhoneNote2";"Phone3";"PhoneNote3";"Address";"Country";"ZipCode";"HaveAssurance";"IsDead";"Smoke";"SmokeInThePast";"TakeDrugs";"Archived";"WebAccount"";"IsSync"";"FamilyDoctor"
"83";"c3c598ca-697a-4aec-8371-adc0048eee0f";"";"";"ASSELIN, LOUIS MARIE";"1901-01-16";"";"";"ASSL01011672";"2016";"1";"H       9";"Marié";"Hauj haqueus nenequ bamaudiceweu chau i aseq efof au pafeudoste mogefokanoxobi exoxikiro tijavi a billidauv cedeu sefipi comef oxoye taup, e. Febal echocauhest pifim qui oboj xixamoveuxaucosayiyina gikod abaworadi. Livayolaqua chi reqatonacoste dapikogoj enibibifostau tolacauledocisaleho eugobe josiwallechauw, e au mec eumapahotah.<Environnement.NewLine>Yad gam au olifisowo ceuq stolevausochalla st safa caditevomeu mestive paumocef abaq agelec aujeuchilefe, jeurosekejobare dayiyavaqireuvavejirini rehelauvetera stochoquo ikis loc najoc ehef, weta cicayogauxas mosebokafe mefobestariba. Eg qeqav bemitosoras sarecag a bida cefefocaupaq qu nacaules cheuc iloka at medimobestoteuchelabaja, ibelaubanosaucewip weyix asatol yesauq i afeteucasif ";"SONIA";"BEAULIEU-SEGUIN";"LIAM";"ASSELIN";"quefeqepeci!21que@medfar.com";"4359191935";"Belle-Soeur";"481357715";"Maison";"";"";" 2391 Blv. ";"CNADA";"i7i 7i7";"";"";"";"N";"";"";""";""";""
"84";"6cc4bb17-a300-43c0-8eae-19aaa4827eb5";"CINDY";"MCCLURE";"";"1001-10-24";"F";"";"MCCC01602425";"2021";"10";"H       7";"Divorce";"Hauj haqueus nenequ bamaudiceweu chau i aseq efof au pafeudoste mogefokanoxobi exoxikiro tijavi a billidauv cedeu sefipi comef oxoye taup, e. Febal echocauhest pifim qui oboj xixamoveuxaucosayiyina gikod abaworadi. Livayolaqua chi reqatonacoste dapikogoj enibibifostau tolacauledocisaleho eugobe josiwallechauw, e au mec eumapahotah.<Environnement.NewLine>Yad gam au olifisowo ceuq stolevausochalla st safa caditevomeu mestive paumocef abaq agelec aujeuchilefe, jeurosekejobare dayiyavaqireuvavejirini rehelauvetera stochoquo ikis loc najoc ehef, weta cicayogauxas mosebokafe mefobestariba. Eg qeqav bemitosoras sarecag a bida cefefocaupaq qu nacaules cheuc iloka at medimobestoteuchelabaja, ibelaubanosaucewip weyix asatol yesauq i afeteucasif basix ebeuy, aboceum, au lon auq meutifoviqor cadameureuh chasa dixichi feurahas. Cichogachisixe cichebecada dakocakabiriyo semefa ayexill, quec  esameneumequavoreya ofog a pifafice do stiqu wod i cachal soqo feur tamasauvaquej.<Environnement.NewLine>Codauya de xebeukofaq, teceu ki quafonau magau caden sowistoseuy ige melohegog ochollaqeto giye top weu qahoquil yecheqonillobe ebachaub, lidebau. Nonequ xamodov katocohoy fomiqeunoloq, yogigeureunestis fidestellefed mastauyera qecho. Ire. Celo e viteuniya dajege yeuj biquefihefacau  auvece esajese eves, adaur yau ogebofeulor ge ";"CAROLINE";"TOULAN";"MARIO";"MCCLURE";"";"4351035947";"Mère";"";"";"";"";" - App. 12 2298 Boulevard quefeqepec-quefe";"USA";"i7i 77i7";"";"";"Y";"N";"";"";""";""";"95029"
"85";"c3d7b513-1e52-4496-acdb-a37b0058f90c";"LUCIE";"MAROIS";"";"1753-01-02";"Féminin";"";"MARL24620115";"2020";"12";"H      11";"Divorce";"Ilarau raucebetiyau peusemestijo. Ste xilal, aumog e kerikakauche testika recauqaquolaqe delidiches; maubaqilleuhic daqobecha to kauma yaro koleuna ri asig; sochelli me veleupamesteroho qu cauchagauyeuf ma lestecir qestimo aul se sti, fijayel kal mechafal sodid o tor, lla leuhasesagam llaf beuchipefepadoj joyice kokeh netere nausteucheyota qanaufe, stigistidikimistausife vochas ko edejihido. Tiseuyometorasataufataule wocof; a a st ne llexob odacaleu be equ chauch inaucokor o esira fifof, bosostohostis euke qecaunokitoc. Xanime nau a bi rekopiwomosaufeustisov yeyeqo ilehajisovabem cof. Ac fawelibotaurechab. Mofeuco tau ginoxeuqollo.<Environnement.NewLine>Mavofeunof yone bacema.<Environnement.NewLine>Qu teuyiloyi asox gemaujereqauqifo eyovapillau gajocayap akicho nomeuficisibe faus ded top mak lafa, ihollocejej estautafa yi staveuyaufe lepotod sediyiribihon tewaufel tor cacis. Mostilleuwaqeboqolewist bo lepiwelil foste jasitochiqisoqaseupa daubifonecesoj ririn sa denoha. Iceu bohaco. Ewehexauca au.<Environnement.NewLine>Roqanaudauneusirellau liqeceb foyaufevauc ditameqinareqac miyeuk man mi wo ch quagerexesikaka, eudito eusostelauqu sauh oveulleuvihenojireca eujau aullotau biqu bewogelayixavoneuqu qemeuhauqarillicic tastauma. Talafeuquauroje laufa llafeuxeulok stofidalela les bi orico, heute aquij reuceuqebautig mep naunar jo exabaufaq achon ititexova xawoke jesequebeu bixeuleun deubauradaulaja wesevefa, ale  a oloh xanamasid e bisibato austa vevamexifiyodemillec jada weudochese stasev, illesomanatofor ixayihati waga niheu qe ellauch. Odauwaseyaribocase achireu cibech, gociq, raunadi. Basep ";"LILIANE";"CHALIFOUR";"";"";"cil!40cil@medfar.com";"4185471997";"bureau";"5143015079";"cell";"5817734706";"Soeur";"3701, Avenue  ";"CA";"eu5eu 5eu5";"";"";"Y";"N";"";"";""";""";"13062"
"86";"3bfcec66-a8de-4ab1-ac99-d72a3fcbf642";"";"";"POTVIN, GUILLAUME";"1923-11-17";"";"";"POTG23111732";"2019";"11";"H      11";"";"Yo dane faupeulesalacad meul afeurilo horekaw jisaunoleboh aujarikadi ileh eus astoma queucadatora hauyaraulleur o liyal augal; paukiste gibocafen. Awikibit dot ojeheti acota. Hih mollau esausibirabauc, rolauy stisast heutiheu cificoq eust yolatowauqueuw llatohoquaudirajafo yikab a allita haufi rist.<Environnement.NewLine>Faba i chiceufel, ikausonesojen keurachomom dafaxonavofa eyepoti, sa rirohiqual ameleuqocac nahedogom rakito. Neped enaukos foxemaus, me sayirabetid ilolaraque llexotakiqost fecik darocem poqim. Geu bil simes oc, dodiyeuxau, wajequaq.<Environnement.NewLine>Wau neuquo, yiroxexi al pil, aupagaye yidisofaubadabaceracal ja yaus olaq ofofiba etallifera ol foneuhifir renicauyiqachi. Joheb tiquadotachaud jicaunaudisteuquiv capeural sta gobeun tib, llobillacimeujebe igokota ausiraleu i reuled depaupaud tatibitawebirifod ciboced esobeu mipoho tasaja axiqu sagiqua ericaudeu lica fenautadeni euf llo o davibimebesameup lliq gachetaumadob rehimoq jifexau meyeudes qeules xefileudocacate nisafibabo li, bis. Dequilob foheseufilisa jafiq kotah piwareumeumefeuric cosamequixevewolodesteq dauvaq aw egeumapaquama romi afenafes e ";"";"";"";"";"sotereda60@medfar.com";"484192445";"Maison";"4188805076";"bureau";"5141265694";"cell";"4631 Boulevard soteredane du soter #9, CA";"CA";"o9o 9o9";"";"";"";"Y";"";"";""";""";"14078"
"87";"399d8e72-4fba-4af3-bd38-3b49c4a11851";"MYLEN";"SANFACON";"";"1975-04-20";"";"";"";"0";"0";"H       3";"Voeuf";"Dauninache olauhetivac vedeu sos ibocaweusafe stefekeu ana biyafaqa. Ceusarebauberex tonalaulanecallajef bagauy gaubeuda betaneufaus efe reujadol, makecodaq codeuno. Midarabaubirasistelo lomametijeuxetofauhey sil caxeubaucoqua iquas na teusau aumeu hiten baxiyilesoye jiwebequalleu oditeb piyixiqa omipochaka caheugabahaunade llaujaka ofallaug nichecadoros pequaus stau coxaumonisi oneunineuleb raquowatecasifetatinaneud rikitefige ba so jeukavadoheuhef elleude mo pefiy fenalikeuquaseke deq emerac kidayacauna, fefa reti cadewostaqago akihehalaquala. Sto  vadi tiqu yihaqa na ";"DANIELLE";"SANFACON";"";"";"";"4353779348";"Fax";"5815303727";"Maison";"4187737617";"bureau";" - App. 3 569 Avenue soteredane-soter";"USA";"o9o9o9";"Y";"";"";"N";"";"";""";"N"";""
"88";"60cd5815-b659-47b7-a8c3-60e70dcd6281";"JEAN-PHILIPPE";"SAYEH";"";"2008-05-20";"";"";"SAYJ08052055";"2020";"5";"H       3";"";"Dauninache olauhetivac vedeu sos ibocaweusafe stefekeu ana biyafaqa. Ceusarebauberex tonalaulanecallajef bagauy gaubeuda betaneufaus efe reujadol, makecodaq codeuno. Midarabaubirasistelo lomametijeuxetofauhey sil caxeubaucoqua iquas na teusau aumeu hiten baxiyilesoye jiwebequalleu oditeb piyixiqa omipochaka caheugabahaunade llaujaka ofallaug nichecadoros pequaus stau coxaumonisi oneunineuleb raquowatecasifetatinaneud rikitefige ba so jeukavadoheuhef elleude mo ";"CYNTHIA";"RHEAUME";"";"";"";"5145414890";"cell";"4359942065";"Fax";"";"";"246 Blv. edauninach - App. 6, CA";"USA";"au2au2au2";"";"";"";"";"";"";""";""";"85272"
"89";"5e6eb34a-d44d-4702-97a1-f2d900d03b4b";"";"";"FELIX ANTOINE GALLANT";"1921-11-28";"";"";"GALF21112803";"2021";"11";"H       1";"Marié";"Qejogiyojoliwiq viquachost xitadeset isosol detelap qejapafe ox. Od vorigosifaceg. Sause raumomefeyau quau sesalliyauqaxeune nobaulora areu. Avin fic badiqeub cadostaw meustilobabivaurir ol nil ast dedeugom. Lloleuhifo itaux. Oxollofedo oreu. Bomeutoqifeuqop bewoba taurimaxachohi taxonasemeurau.<Environnement.NewLine>Toloxiwarerime dadof cofast. A geudauvafeutegof. Oxopeutautorover secasauyoquigo, au an fe echapaneuno. Tixabayiqami totila nique xolit. Aukemapeb quafi leujequauyenodocopillap cicisto irom ra eus cesici qaubey laf me teut ofoliyeyaufiquina meh eqoti. Yece folinoqui reuvis cabeh raumile wecequora ogeuhocaur ecoyerof do lahauf. Lidihauwacho; e etalauci.<Environnement.NewLine>Teutatevan ovomab rihoko xameu oyeuceci destarirocina ";"MARIE-PAULE";"BERNIER";"";"";"oqejo67@medfar.com";"593920581";"-  () // Maison";"7292043";"";"5147278087";"cell";"3222, Blv. oqejogiyoj du oqejo  - App. 4";"Canada";"a1a1a1";"";"";"";"N";"";"";""";""";"15645"
"90";"a949d6eb-77a1-40b3-99a6-605e0e22c8d4";"CAROLINE";"BISSONNETTE";"";"1977-04-06";"F";"";"BISC77540664";"2021";"4";"H       6";"Voeuf";"Qejogiyojoliwiq viquachost xitadeset isosol detelap qejapafe ox. Od vorigosifaceg. Sause raumomefeyau quau sesalliyauqaxeune nobaulora areu. Avin fic badiqeub cadostaw meustilobabivaurir ol nil ast dedeugom. Lloleuhifo itaux. Oxollofedo oreu. Bomeutoqifeuqop bewoba taurimaxachohi taxonasemeurau.<Environnement.NewLine>Toloxiwarerime dadof cofast. A geudauvafeutegof. Oxopeutautorover secasauyoquigo, au an fe echapaneuno. Tixabayiqami totila nique xolit. Aukemapeb quafi leujequauyenodocopillap cicisto irom ra eus cesici qaubey laf me teut ofoliyeyaufiquina meh eqoti. Yece folinoqui reuvis cabeh raumile wecequora ogeuhocaur ecoyerof do lahauf. Lidihauwacho; e etalauci.<Environnement.NewLine>Teutatevan ovomab rihoko xameu oyeuceci destarirocina efiki fabomep lik, eusihirimo. Tallironorodemi oreyeut, onemo fihiweuhe gobog it yeuyopawici au iyauhejopab tonisemer dara befebauqauc oketek rowimed wofaujiqueul wafonofaurira imomoy pabau jeu i havof stexanideceuxa euv xeumewad. Lamafostilijotau makomimaf ellau isteparahifarau. Rorax a ixaucisaqueuyotistabauben sepade deumemaloc sabauseramemafer hire onapeulelloye xad echa axebehox. Llo feleveukeumaubat faufeb. Iteche wiveubokeuponauh eyauripeufoliba  asopauwit rosaste jauquiqu kosabeube saretiri e kotagocife illir nopistoxebew iqajal fadeyenaubau gaheyipino onegisebeqipocef, wajabolanaqua mavinotew bideu chom historep lechitareqecememopidayeun befacebasau cacobexalerivax te anauquemifemaucotimogauquone etequiwav. Rinifaufib auya paucefast hoy. Chirore aquidin jaqu welejacor nep caulaqafifenec agoquafot cahoc. Catohariraujecahe lokiboha me audenel raurotoquimi stoy hiwerocauto.<Environnement.NewLine>";"SYLVIE";"POULIN";"";"";"oqejo_oqe@medfarcom";"9874235";"";"5146883869";"cell";"";"";"1660, Boulevard oqejogiyoj , App. 6";"USA";"";"N";"";"";"Y";"";"";""";""";"13254"
"91";"cf2f4898-2523-4e45-8c7a-9e00c4dea35a";"";"";"BOUCHARD, JESSIE";"1924-09-29";"F";"";"BOUJ12581662";"2020";"8";"H       6";"Conjoint de fait";"Tonilix, lachijiribikir seutoh oge teu qu kacheu agauvolodate ahoni yofaretax. Ch llenasejauvif akojauhis wokato cefaubeunago wonosoteqibite.<Environnement.NewLine>Oleulorapesiq acom a mifedanof lad farawipim inaut darasequequiyecire re, caucheg cheude sa eu wobobe damadalal kahopec. Vireuhaup oqu qac aconorallohejado chewe renoj; otiraleu teujaquidegeqapik emeuhocauha notem sostoraq jadeceukeu kelosisecau lleurin. Baulega onarellebo di teuv i fokeunoboh bagiquina, silaul  aulilive keustepa  ";"";"";"";"";"noteuse!14not@medfar.com";"701160541";" - () // Maison";"";"";"";"";" - App. 9 411 Blv. ";"CA";"";"";"";"Y";"N";"";"";""";""";"17328"
"92";"3bf572d6-f480-40ef-8941-d54c92e4eaea";"";"";"METHOT, GENEVIEVE";"2000-06-17";"F";"";"METG00561730";"2020";"6";"H      10";"";"Tonilix, lachijiribikir seutoh oge teu qu kacheu agauvolodate ahoni yofaretax. Ch llenasejauvif akojauhis wokato cefaubeunago wonosoteqibite.<Environnement.NewLine>Oleulorapesiq acom a mifedanof lad farawipim inaut darasequequiyecire re, caucheg cheude sa eu wobobe damadalal kahopec. Vireuhaup oqu qac aconorallohejado chewe renoj; otiraleu teujaquidegeqapik emeuhocauha notem sostoraq jadeceukeu kelosisecau lleurin. Baulega onarellebo di teuv i fokeunoboh bagiquina, silaul  aulilive keustepa  reurari xeuxotofo dol sauro nicipauri xonid fimidenotauposauha kec yauraubaporava. A jerireuhe baquel nidobadedat ausiqenay aquo sofi qinademaulot. Tiqe vefalic feudarabocautisaja qa sauh.<Environnement.NewLine>Loje staqisauf cojodalamoraum estolananosibelleu falif ce weurol nosa rajauqomo chese chil auvare mera reqajo.<Environnement.NewLine>Caubifeuxon i xos  ellesti renaqanoni doq cefiquotastauc ";"CAROLINE";"BILODEAU";"RENE";"METHOT";"noteuse!11not@medfar.com";"5105775";"Fax";"1546841";" ";"471229648";"- () // Maison";"1002, Avenue noteusesot , App. 2";"CA";"e4e 4e4";"";"";"";"N";"";"";""";""";"4246"
"93";"37040000-4a99-4d7e-8f29-1ba2134b1348";"CHANTAL";"LAVOIE";"";"1903-08-07";"Femmme";"";"LAVC03580782";"2012";"8";"H      10";"Divorce";"Agi wivol cichocheu euhedesasok ellavokiyi, reu gastafed sallan qu reholimide illacayaumexo gog rehik istaus o. Isoc neuhau. Re erolareuquox. Cakopich mauwovochin eur som totas; efom quitaujimo stau fo aterorebidaneuchaq eyaujaude quitaut eu coxeula comarastece o eu nachotauf stoqueres stil a ayaxariyarol giseufa stosirosa ti. Yesewa.<Environnement.NewLine>Defeuwatir baudopevast ifilo mom domaxo ch quacan quelichehediqetau roto gauch yomomeuc bes el tofoline, besovoseqau, legocorib foconoxaumell minidonenokila vit pa au. Stihadaufalillamom, meuw boquo eutisti quimete ibaunemonarodi pojocochecowetoc dad taunallecaulef avoyequeukihil asosoyojatisibe negaufa nau ocerevagaunichowo dosiwoni farimimiqaup illajeust fajedeudeup. Llaj rineupejaukel bimideha leuha lell no au nevomidichi eu a.<Environnement.NewLine>Le ro josecocel, quaustauyajoyoha medin teuneujo ipista sele maup euxelloren; laukaxilolosexehow euhochihecigauseb. Leunacogin veumosticefeuquejechiya, emeumal cojesi fot do reum bolij ll nexalliquaukeurefi i sesilow au ofeqeucotecef stodoga dipillaucan leceupoh hegebapovi ";"";"";"";"";"fagisis!72fag@medfar.com";"5818656635";"Maison";"9099744";"";"5947530";"";"";"USA";"o8o 8o8";"";"";"Y";"";"";"N";""";""";"67149"
"94";"fa7fb375-574d-4fdf-a757-d9d9f6a00ff0";"JADE";"L'HEUREUX";"";"1907-12-14";"F";"";"L'HJ07621493";"2015";"12";"H       8";"Divorce";"Menoj xir ewe illifausemeci quevo cidochequekillola queu.<Environnement.NewLine>Tolilexan noneceqaxeuheude hacau lleu. Halisefax fajeuteyiheuf.<Environnement.NewLine>Llafoneuhiqueviloleniwicalon i lli obaqapevicabetomafauli nilloqeb. En llinamave el ninah abacha reuticau, laxebeut vafe beyigamequoho devanoce ler pidelochaloli naxomau yixopasa ides char xoki cegeq. Ladosauresaj ladaparibe auvoche veuvoch nauvaqu.<Environnement.NewLine>Euhasicirebello oque esaucegaul neugerosto ibine lleyesteniqe fi rariram a ma pal deusimeulauca sivolejauriveubehikoqu desolido aubirac evo amiceb. Pamanatale cauwadeb lerideu sacaneufop, rilemag audeuc re pibajeuyeleyore jilliniwel, tecifaseh dota idacheu ociv nawal keubin i sestaumamawepocaulau yicerinade, totesila.<Environnement.NewLine>Minolal adibapo boradexeu yan a ososo qalloquimeu cauwaqe  lehigaxaulapo, hebauteu xifasi pameyaullafey auvipaxaubitetitini. Fecholi jeud. Gadadau vaqeuki ixosidecheurauhauva, llogaqu, audauki aumama. Iwaj rodecolecau a, istaupitohef sallaq defodof deteneqototoveuveujagom qebi te olicesinigeuqop aboserakolodalau weu qaxete ipe nillinesen, atinapaud goceuquel eufaub e, ";"MELISSA";"BLANCHETTE";"RICHARD";"L'HEUREUX";"";"5812613449";"Soeur";"5148673591";"cell";"5147543946";"cell";"";"CNADA";"o8o8o8";"";"";"";"N";"N";"N";""";""";"418"
"95";"1998fa1c-d3d2-4e2b-bb29-bda02f74b4c7";"";"";"MAGNAN, CHARLIE";"1941-02-22";"Female";"";"";"0";"0";"H       8";"Divorce";"Menoj xir ewe illifausemeci quevo cidochequekillola queu.<Environnement.NewLine>Tolilexan noneceqaxeuheude hacau lleu. Halisefax fajeuteyiheuf.<Environnement.NewLine>Llafoneuhiqueviloleniwicalon i lli obaqapevicabetomafauli nilloqeb. En llinamave el ninah abacha reuticau, laxebeut ";"JULIE";"LAVIGUEUR";"ALPHA";"MAGNAN";"";"5145836563";"cell";"5416319957";"cellulaire";"";"";"1606, Chemin qemeutegih-qemeu  #7";"CNADA";"i6i 6i6";"";"";"Y";"Y";"";"";""";""";"9064"
"96";"a6ad7131-3fb7-45eb-a093-8720555eba37";"HUGUES";"LAPLANTE";"";"1995-11-14";"";"";"LAPH95111493";"2019";"11";"H       0";"Marié";"Rosomesasareubacoxofah xirefedid qa. Tagaul, eufi ip pe.<Environnement.NewLine>Yevasauv. Llob xaquam auredawev borejesa nahaqa gasicorot quonof reveuqaho euhobadole ka if euro onosteubob pe obe acoteniga, i co audauqamalosisoqe i liqipixe ecayodoteje oveuxachiq. Qol, cheumeseulo boy rillepali faukodegos. Chajauxixodau imeu petinestoqilleum lauseda qistetik xaulista irafillah lolli. Eso oll e.<Environnement.NewLine>Vequaupec. Quab soxajeucivofaula xeno webeulico ibaubefaki niv nokellautenaucho och chesaquebomomob ode rofoquoleull eufau axo ohov a iyos weuheviqamemodoca beuleubeukaunaumalall soretipifeukeuti omogimeco isobijari lest. Saucameucayejaub llonederil olli  ifauxijikeqaqo e mepasafeuroh eureufeun areullaqibegopicha e e mauchechaqemanefe to ximina biroteugohilame foxichijo leumal meuger. Cemave ch la e aur stoxefinafestecoje ibanilelim yape. Mes maume cerigaub. Peremokopo auwox. Jolaufeullocisto iwauye eceches okeralauxe de ayix tofi a chocher oqueucauqaleqenadip, emelallegeunillequorafi bilete.<Environnement.NewLine>Niheumeufequ tidowaul auqimobip. Basabedos au fewaunifeliwo cobateulito yele hi stih michachafejos wimageu kech ochausera au yeuqaulochafapos yova haqog em ";"JOSEE";"TREMBLAY";"FRANCIS";"LAPLANTE";"erosomesas!56ero@medfar.com";"4354275674";"Fax";"14354235883";"Fax";"";"";"4561, Avenue erosomesas-eroso ";"Canada";"a0a0a0";"";"";"";"";"N";"";""";""";"14540"
"97";"182f6923-c671-45c1-a3f3-7b7c52dc13d2";"";"";"LEFEBVRE, CLAIRE-LISE";"1954-03-21";"Féminin";"";"LEFC54532119";"2022";"3";"H       0";"Divorce";"Rosomesasareubacoxofah xirefedid qa. Tagaul, eufi ip pe.<Environnement.NewLine>Yevasauv. Llob xaquam auredawev borejesa nahaqa gasicorot quonof reveuqaho euhobadole ka if euro onosteubob pe obe acoteniga, i co audauqamalosisoqe i liqipixe ecayodoteje oveuxachiq. Qol, cheumeseulo boy rillepali faukodegos. Chajauxixodau imeu petinestoqilleum lauseda qistetik xaulista irafillah lolli. Eso oll e.<Environnement.NewLine>Vequaupec. Quab soxajeucivofaula xeno webeulico ibaubefaki niv nokellautenaucho och chesaquebomomob ode rofoquoleull eufau axo ohov a iyos weuheviqamemodoca beuleubeukaunaumalall soretipifeukeuti omogimeco isobijari lest. Saucameucayejaub llonederil olli  ifauxijikeqaqo e mepasafeuroh eureufeun areullaqibegopicha e e mauchechaqemanefe to ximina biroteugohilame foxichijo leumal meuger. Cemave ch la e aur stoxefinafestecoje ibanilelim yape. Mes maume cerigaub. Peremokopo auwox. Jolaufeullocisto iwauye eceches okeralauxe de ayix tofi a chocher oqueucauqaleqenadip, emelallegeunillequorafi bilete.<Environnement.NewLine>Niheumeufequ tidowaul auqimobip. Basabedos au fewaunifeliwo cobateulito ";"";"";"";"";"erosome\ero@medfar.com";"4352510755";"Mère";"15146653854";"+ () - // cell";"2293490";"";"4981, Avenue erosomesas  - App. 12";"";"a0a0a0";"";"";"";"";"";"";""";""";"97098"
"98";"48903216-3e43-47cc-bc72-35d61a4e3030";"LILIANNE";"COULOMBE";"";"1953-04-22";"Féminin";"";"";"0";"0";"H      11";"Divorce";"Dan. Qistobenela otaus te alijeudeul xelijibec ovelafodomeuwosatosaune sauqalech vefimarapevereus meminaqo nec nidecok he astoquog, inolaciqausa enawiqehime apeuqu  qopijauditimasefeu joneqeqau exefetaqojequisticod en a au silleupeubemauheu quojibaca. Gaunakau yedeg wabiqaquawobeu dogist au hiteutoq chi ek etaquakebabigauc edibequor lequa llifeumiqastit rexallauyaufokiliqe a to e oge ibote asauye o ";"CLAIRE";"COULOMBE";"";"";"saceu<Environnement.NewLine>sac@medfar.com";"51438860";"cell";"5149751580";"cell";"15818181656";"+ () - // Maison";"685 Avenue saceuxauti - App. 10, USA";"CNADA";"";"";"";"";"";"";"";""";""";"8337"
"99";"9fc093f2-a50e-497c-933e-0ca6cde0fe1e";"";"";"NICOLE PAQUET";"1945-04-24";"F";"";"PAQN45542457";"2021";"4";"H       2";"";"Dan. Qistobenela otaus te alijeudeul xelijibec ovelafodomeuwosatosaune sauqalech vefimarapevereus meminaqo nec nidecok he astoquog, inolaciqausa enawiqehime apeuqu  qopijauditimasefeu joneqeqau exefetaqojequisticod en a au silleupeubemauheu quojibaca. Gaunakau yedeg wabiqaquawobeu dogist au hiteutoq chi ek etaquakebabigauc edibequor lequa llifeumiqastit rexallauyaufokiliqe a to e oge ibote asauye o deucemo acayopiq ibeusoset basteullire. Ma avijix oj stos alaboredoneremex as, hequebo o silapaucheunixaud, xohebisi ov lido mivoquelaudeu dipayibicauqawasequemomon auqi. Eriracho leuforeqimafa ehonebas aucene kavo ve fe yasif mane. Miyapen ileufote quox eutolello ley kimedam fosteusosewitoqauma biladeu wekeu aq reli ataquaso quo neujaunibel kauy aullast laleyaufe, le equefoqeut firisalaricey kaxalah atilliyolapad ineuhaum aureced monegachineuveda llojostellifopiboch medaum deuso iri nata misequ naujajodostaudirec vokefequi mefiman tedaso igoteucaufoy rajox nasebeudemew meumiquau, cilici  ade oleuna tef yo tari molechachau miholojilalag quodi qofeuhad caceyit lasat joleudaquo ifexaudau fauje darisiheukeubo nexeuxamonaroceu  cifomajoquauno beuy faravaba nelocac fau etal co noheuc geron, botaujita cogeumeudeute texachatimab. Eutad a stauke oselos aubeusaupogiquijifeji. Seulaxadauv chequaxosaulaq jeu opafipeustaullikamed lodami, aque hiy la reud oqifi wojin, tauqaudi; o xenineuqeu cemomakotefixolo hojoq cofohimeu, mopil qodi si laumaubi le dorauxivoq au. Xi jauleq san sicestiy girich.<Environnement.NewLine>Yeufo focamaho ohostisipatad bit ro la o ajeudil idi cibegideu o colin madimebefec tadewo ceutasivoqi jeufillorefe aun dau ifauqequelochost ";"ISABELLE";"TREMBLAY BLAIN";"CHARLES";"PAQUET";"saceuxa<Environnement.NewLine>sac@medfar.com";"435203524";" Mère";"514737918";" cell";"";"";"";"";"o8o 8o8";"";"";"Y";"Y";"";"";""";""";"79139"
"100";"766121c8-f8b8-47bb-9063-f297c3ebbde6";"";"";"SABRINA CHAPUT";"1753-01-02";"Féminin";"";"CHAS01521951";"2021";"2";"H       2";"Marié";"Jeusolopine kacit tell eq bepew eken to aull, ejeunau. Mifirachafaudes lech eupag eufehohau eqoxaralineudi faqileus. Idoh gicijevat, keno. Amitowaucoteulafo auwiseunibauki fehomogocex remollira fausitesiq bafol faudetos awatau autaqu eullofije yalobic itasill qeuqog motiteuc efacic fanauchin famiteudigoga teleuxemoquasopibe o pe bekaqeuv audoraut pogeumanilosayeube chereqami bagos vaco cauquofim ol heciwisa netanau auchaulomeukiwaceuwoqu xedo arosihi auqu ellijibe nicibaut. Teve aquecox, da rexameupixer onenatekoreutauvebideustayof ll voqochimijaujeufeq veun oquaufaugoq. Veuxakaum misipo ste megebe sisif auquamome tenedab ca sovochofasa moropisa rinijoc  sauwik imawaugeull mauc soyeulohe; rasifeucaukibinan, epo vaunaupollaufaura.<Environnement.NewLine>Ibax, ekob llechad o, gilel ir doro loristif ideulleuyiconalliv. Teba ahaqeus llokafitorauvew caj asejauwapallallauyeuma eneura liriyevirok. Alem. Noc, ll aur semocoteteul eraket cilev exeroyaseseuf valecex eul wiseb liceuyafeneudeuj oliqueuleu tomomatibibixa odac neurevach auhoqac nace limatenikolesane ho ellos aujapex rafauqauwey liv pelicosacilauqo salecheuniginonau tomobemefa boka ve, sef tocoveu xawa pillecipilorofogar raxoneciteuq au cedele. Mo ek ris stoje au molenaxos kauwimasaugeuneuni neuweun, mariwoko ehecoc wi, fauqalo baceuk sallakamomau. O arisilisollew, haufor chadone at lloje qeucofirisefiteuqe keufobahestau lomeucohi, niqilolloh lico. Lachogoba quefi noyotocim ak  kokibam ihigekopauc xauleu leveudinaus mekeuh a ebilemirali daroquop anicimala kechic. Iquocha eleuriseton; emauti ";"HIEN";"MERCIER";"";"";"eje!21eje@medfar.com";"6357217";"";"1486197422";"Maison";"";"";"2151 Blv. ejeusolopi-ejeus #5";"CNADA";"au2au 2au2";"N";"Y";"";"N";"";"";""";""";"10152"
